"date","close","volume","open","high","low"

"2019/03/01","1148.5200","1631109.0000","1131.0000","1150.0000","1131.0000"
"2019/02/28","1126.5500","1367698.0000","1119.0000","1133.9900","1118.4100"
"2019/02/27","1122.8900","1104272.0000","1114.0100","1125.7300","1108.5600"
"2019/02/26","1122.0100","1748498.0000","1114.3700","1126.4350","1106.7000"
"2019/02/25","1117.3300","1292133.0000","1121.9300","1125.4000","1114.1100"
"2019/02/22","1116.5600","1471185.0000","1109.7000","1117.2500","1100.5000"
"2019/02/21","1104.2100","1663456.0000","1118.7800","1119.1500","1097.9800"
"2019/02/20","1120.5900","1203703.0000","1128.8800","1130.9300","1111.7500"
"2019/02/19","1126.5100","1098679.0000","1116.6400","1129.6400","1116.6400"
"2019/02/15","1119.6300","1390397.0000","1139.3000","1139.3000","1116.7200"
"2019/02/14","1129.2000","1052555.0000","1125.0000","1136.1300","1117.0900"
"2019/02/13","1128.6300","1391611.0000","1133.0400","1142.8496","1126.0000"
"2019/02/12","1127.5800","1750198.0000","1111.0100","1132.8600","1111.0100"
"2019/02/11","1102.1200","909734.0000","1103.7500","1113.4300","1100.0000"
"2019/02/08","1102.3800","1087325.0000","1094.8800","1105.0950","1094.2400"
"2019/02/07","1105.9100","1912897.0000","1111.8200","1111.9900","1093.5900"
"2019/02/06","1122.8900","2406138.0000","1149.2700","1154.0000","1118.3600"
"2019/02/05","1151.8700","4110798.0000","1129.6300","1152.7700","1123.6000"
"2019/02/04","1141.4200","3859255.0000","1119.0100","1142.3400","1117.5100"
"2019/02/01","1118.6200","1649017.0000","1122.2900","1134.4000","1114.2500"
"2019/01/31","1125.8900","2002173.0000","1112.2400","1127.6700","1105.2500"
"2019/01/30","1097.9900","1451369.0000","1077.3600","1099.5200","1076.6400"
"2019/01/29","1070.0600","978913.0000","1081.0400","1084.7300","1066.0200"
"2019/01/28","1079.8600","1465078.0000","1090.0700","1093.3650","1074.6100"
"2019/01/25","1101.5100","1155725.0000","1094.2300","1103.3600","1091.8012"
"2019/01/24","1084.0000","1455698.0000","1082.5100","1088.0000","1070.0200"
"2019/01/23","1084.4100","1252204.0000","1086.8600","1092.9500","1067.5700"
"2019/01/22","1078.6300","1975801.0000","1096.0000","1098.9700","1070.8900"
"2019/01/18","1107.3000","2215050.0000","1108.5900","1118.0000","1099.2834"
"2019/01/17","1099.1200","1235995.0000","1087.9900","1100.7000","1083.2550"
"2019/01/16","1089.5100","1909194.0000","1090.0000","1102.3600","1088.0100"
"2019/01/15","1086.5100","1845666.0000","1058.0100","1088.2700","1054.4400"
"2019/01/14","1051.5100","1416199.0000","1053.3400","1058.4500","1048.5500"
"2019/01/11","1064.4700","1538460.0000","1069.9000","1073.3700","1056.4300"
"2019/01/10","1078.8300","1328481.0000","1074.9400","1079.8100","1064.6800"
"2019/01/09","1081.6500","1348040.0000","1087.9900","1091.6400","1074.3700"
"2019/01/08","1085.3700","1759640.0000","1086.0000","1093.3500","1068.3486"
"2019/01/07","1075.9200","2371538.0000","1080.9700","1082.7000","1062.6400"
"2019/01/04","1078.0700","2301042.0000","1042.5600","1080.0000","1036.8600"
"2019/01/03","1025.4700","2094929.0000","1050.6700","1066.2600","1022.3700"
"2019/01/02","1054.6800","1582524.0000","1027.2000","1060.7900","1025.2750"
"2018/12/31","1044.9600","1654209.0000","1057.8300","1062.9900","1033.0387"
"2018/12/28","1046.6800","1718018.0000","1059.5000","1064.2300","1042.0000"
"2018/12/27","1052.9000","2265984.0000","1026.2000","1053.3400","1007.0000"
"2018/12/26","1047.8500","2306710.0000","997.9900","1048.4500","992.6450"
"2018/12/24","984.6700","1817955.0000","984.3200","1012.1195","977.6599"
"2018/12/21","991.2500","5225681.0000","1032.0400","1037.6700","981.1900"
"2018/12/20","1023.5800","2654268.0000","1026.0000","1047.4400","1007.8648"
"2018/12/19","1035.4600","2908506.0000","1047.2900","1075.7100","1019.4300"
"2018/12/18","1043.4100","2179044.0000","1034.0000","1059.6900","1030.4800"
"2018/12/17","1025.6500","2477016.0000","1047.0100","1062.3800","1016.6300"
"2018/12/14","1051.7100","1817086.0000","1060.0200","1071.7200","1049.3700"
"2018/12/13","1073.5400","1249235.0000","1075.6700","1088.4200","1064.9940"
"2018/12/12","1073.7300","1447393.0000","1077.0800","1091.7325","1071.9700"
"2018/12/11","1061.6500","1691864.0000","1066.9400","1070.4000","1050.1000"
"2018/12/10","1053.1800","1681872.0000","1042.9400","1059.6000","1033.0000"
"2018/12/07","1046.5800","2127531.0000","1072.2300","1085.0300","1039.3700"
"2018/12/06","1078.0800","2364581.0000","1045.0000","1079.4200","1042.4800"
"2018/12/04","1062.4700","2271452.0000","1112.9900","1114.2400","1060.7750"
"2018/12/03","1116.3600","2871472.0000","1132.1600","1135.0000","1111.7300"
